http://cloc.sourceforge.net v 1.64  T=80.67 s (82.9 files/s, 14766.5 lines/s)-----------------------------------------------------------------------------------
Language                         files          blank        comment           code
-----------------------------------------------------------------------------------
Javascript                        4480         112481         157881         564874
JSON                              1254            334              0         108325
CSS                                144           5282           2816          65638
HTML                               178           2869            843          50115
Python                              60           6485          12150          27784
C++                                 67           3411           2975          19139
C/C++ Header                        98           2511           1668          12674
LESS                                72           1175           1541           5595
XML                                 11            239             11           2711
make                                56            627           1019           2078
Bourne Shell                        17            389            401           1863
TypeScript                           5            765           3337           1754
YAML                               151            103             87           1562
CoffeeScript                        22            509            457           1433
SASS                                26             79             13            597
Perl                                 1             87            170            582
m4                                   2             40              2            266
Lisp                                 3             42             38            264
Bourne Again Shell                  10             53             25            175
IDL                                  6             38              0            167
C                                    5             48             45            166
D                                    6              0              0            120
Smarty                               6             17             30             91
Handlebars                           2              8              0             42
Windows Resource File                1              1              1             33
DOS Batch                            2              2              0              8
PowerShell                           1              2              2              4
Ruby                                 1              0              2              4
-----------------------------------------------------------------------------------
SUM:                              6687         137597         185514         868064
-----------------------------------------------------------------------------------
